SourceYear,SchoolYear,Region,School_Short_Name,addresses,City,State,Zip ,County,Latitude,Longitude,JoinType,DriveTime_min,PercentToFullScale,PercentEntryLevelNeeded_AC,PercentEntryLevelNeeded_CP,PercentPoverty1x,PercentPoverty2x,PercentWin10min,PercentWin15min,Avg DriveTime,Median Drivetime,SD of Drivetime,SurroundingShoolsQuality
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,intersect,15,0.029,0.016,0.008,0.069,0.033,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,intersect,10,0.071,0.034,0.02,0.157,0.072,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,inside,15,0.053,0.041,0.021,0.143,0.07,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,inside,10,0.482,0.596,0.256,2.286,1.058,0.41,0.81,13.62,11.87,7.31,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,intersect,15,0.036,0.021,0.011,0.133,0.057,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,intersect,10,0.088,0.044,0.023,0.284,0.112,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,inside,15,0.069,0.052,0.025,0.293,0.121,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,inside,10,0.216,0.133,0.078,1.693,0.431,0.58,0.77,11.12,9,8.23,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,intersect,15,0.039,0.024,0.012,0.127,0.054,0,0,0,0,0,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,intersect,10,0.091,0.062,0.03,0.364,0.141,0,0,0,0,0,
